날짜,제목,조회,공감,비공감
2023.05.01 21:57,회사가 말해주자나~~!,2,0,0
2023.05.01 21:56,내일 개미,7,0,0
2023.05.01 21:55,응 내일,25,0,0
2023.05.01 21:54,내일 거래정지 나올거다 ㅅㄱ,12,0,0
2023.05.01 21:54,ㄷㅅ개미야,13,0,0
2023.05.01 21:45,하한가 ,51,2,0
2023.05.01 21:44,폭락전 이빠이 팔았다.,34,0,3
2023.05.01 21:43,대 바닥,35,1,0
2023.05.01 21:32,마지막 탈출기회,112,0,4
2023.05.01 21:30,8개종목 대주들,95,2,0
2023.05.01 21:21,"대성홀딩스, 제발 기본 기업 분석은 알고 대처하세요!",95,0,0
2023.05.01 21:12,임창정 주연 라덕연 연출 감독,94,0,0
2023.05.01 21:11,8만원,133,9,1
2023.05.01 21:11,근데 갑자기 찬티가 많으면..,166,2,0
2023.05.01 21:10,주가조작 주동자는 휴메딕스 군요,119,5,2
2023.05.01 21:08,분할매도좋고,96,5,1
2023.05.01 20:50,공포에 사는겨,91,0,1
2023.05.01 20:34,1600억 벌은겨?,208,12,2
2023.05.01 20:34,왠지,162,10,1
2023.05.01 20:25,대성홀딩스 종목 분석 및 정보입니다~ 확인하시고 대응하세요!,149,1,0
2023.05.01 20:23,금요일 매수 후 ,141,0,0
2023.05.01 20:23,다우 대주매도,168,6,1
2023.05.01 20:19,삼화전자 페라이트 엘론 머스크 전기차 ,113,3,1
2023.05.01 20:09,"84,000목표가",198,10,0
2023.05.01 19:57,대성홀딩 끝났다,390,2,3
2023.05.01 20:19,이 글은 광고글이니 들어가지 마세요,47,1,0
2023.05.01 19:42,대주 ,260,6,1
2023.05.01 19:39,폭락전 미리 매도를 쳤다는 건,319,2,4
2023.05.01 19:26,어차피 작전전에도 우상향하던주식이니 놔두면,276,12,2
2023.05.01 19:24,조만간 급등 차트가 ,283,1,3
2023.05.01 19:08,물극필반,249,9,1
2023.05.01 18:47,내일  곡소리 많이 나긋네,573,10,3
2023.05.01 18:44,대성 1600억현금확보 대 호재.,443,9,1
2023.05.01 19:29,대성 1600억현금확보 대 호재.,127,3,0
2023.05.01 18:42,내일부터 신용 미수 몰빵 10연상,270,5,3
2023.05.01 18:35,■충격*대공수사국장 황윤덕 증언*문.노 간첩 잡으면 파면 좌천.편파왜곡 민주노총에 장악된 방송국,271,6,4
2023.05.01 18:17,떨어지기전에판게,260,5,1
2023.05.01 18:16,라덕연(작전) vs 대주주(증여),152,0,2
2023.05.01 18:12,이런 사기꾼들이,215,2,1
2023.05.01 17:54,정상적으로 1600억원 확보 대형호재,456,16,3
2023.05.01 17:45,대성홀딩스 호재.,432,14,1
2023.05.01 17:45,대성그룹,156,0,2
2023.05.01 17:44,내일..  ,452,5,7
2023.05.01 17:41,관심집중 좋네  ㅋ,248,3,1
2023.05.01 17:39,생각해봐........,328,5,2
2023.05.01 17:29,헉 1600억이나 내일 하한가 ,542,5,7
2023.05.01 17:24,낼 싱한가,333,8,3
2023.05.01 17:22,어떻게든 개미들 털어내고 싶다는 시그널,266,3,1
2023.05.01 17:22,23000원 시초가에 잘 드갔는데,273,8,1
2023.05.01 17:18,작전땜시  압수 수색하는  주식을 사는것은,357,4,8
2023.05.01 17:15,15000에,332,2,2
2023.05.01 17:26,15000에,63,1,1
2023.05.01 17:07,대성홀딩스,325,4,2
2023.05.01 17:06,누구나,242,2,0
2023.05.01 16:54,15000원 추매,272,2,3
2023.05.01 16:53,지금부터,269,4,3
2023.05.01 16:49,"대성홀딩스, 서울가스 지분 up",320,6,1
2023.05.01 16:07,그렇네 대성홀딩스는,477,11,4
2023.05.01 16:00,주식은 나처럼 ,523,4,3
2023.05.01 15:53,대성홀딩스가 서울가스 회장보다 지분 우위...,484,3,1
2023.05.01 15:46,간호법 반대하는 의사집단,326,2,3
2023.05.01 15:42,빚 청산,160,0,0
2023.05.01 15:33,SG테마주의 대장인 대성홀딩스,550,10,2
2023.05.01 14:46,화 .수 .목  3연상 확정,648,14,5
2023.05.01 14:32,예민하니깐 반말은 하지마시길,611,14,4
2023.05.01 14:32,낼 하한가 간다 하따들 ㅋ ㅋ,478,4,7
2023.05.01 14:23,4월21일 종가기준 130000원,569,5,1
2023.05.01 14:22,"[단독]피해자 주장 임창정 회사, 사내이사는 '주가조작' 연루자들",275,0,0
2023.05.01 14:19,반대매매의 위력  다 거지 됐습니다.,513,11,7
2023.05.01 14:15,SG증권발 셀럽 주식,130,0,0
2023.05.01 14:13,이런 주식도 있습니다(금호타이어),357,1,0
2023.05.01 14:12,이미 반대매매로 깡그리 밀어 버린 상태입니다.,428,6,4
2023.05.01 14:04,상따   순위  알려준다,317,1,0
2023.05.01 13:59,이기 나라가..주가조작세력 관련자들이판치고,109,0,1
2023.05.01 13:23,4종목 예전 주가,695,3,10
2023.05.01 12:33,임창정 짧고 강하고 임팩트 있게,566,8,1
2023.05.01 12:29,감사합니다,570,4,4
2023.05.01 12:02,곧,553,3,5
2023.05.01 12:01,근데 금감원은 왜 주가조작 수사 하면서,757,2,9
2023.05.01 11:52,쉽게안올리지,442,1,0
2023.05.01 11:38,오늘도 양봉이네,193,0,0
2023.05.01 11:38,가스요금 인상안 5월 중 계속나옴. 한국가스공사는 이미 공시를 통해 올렸네요.천연가스 인상한다고~,424,1,1
2023.05.01 11:37,의문!!,481,3,1
2023.05.01 11:41,의문!!,122,0,0
2023.05.01 11:54,의문!!,97,0,0
2023.05.01 11:46,의문!!,106,0,0
2023.05.01 11:32,뉴스보세요..희망갖지 말고,242,0,1
2023.05.01 11:32,공매도,136,0,0
2023.05.01 11:29,서울도시가스 다우데이타만 대주주 매도  궁금하실거같아  뉴스url,367,2,0
2023.05.01 11:19,깨꼴락지는 되지말자 (매수 주가를 결정하는 방법),251,1,2
2023.05.01 10:47,명신이하고  윤무당 장모 뭘로 돈번거임?,442,8,5
2023.05.01 11:27,명신이하고  윤무당 장모 뭘로 돈번거임?,75,0,3
2023.05.01 10:36,누구나 그럴싸한 계획은있다.,457,1,1
2023.05.01 10:33,점 4하에서 대대대량거래는 100% 머다,785,7,3
2023.05.01 10:30,대성 미래?,749,3,8
2023.05.01 10:20,거래소 하는일이 뭐가 있다고...,471,8,0
2023.05.01 10:17,서울가스,190,0,0
2023.05.01 10:10,임창정 왈,497,1,0
2023.05.01 10:06,성공한 작전??..... 실패한작전??,551,3,1
2023.05.01 09:58,오늘 왜 안하죠??,720,0,3
2023.05.01 09:47,저언,420,4,1
2023.05.01 09:44,SG發 폭락사태 '빚투'한풀 꺾였다. 신용잔액 20조 밑돌아...,508,3,1
2023.05.01 09:28,참으로,496,5,0
2023.05.01 09:24,고평가!!!,669,0,4
2023.05.01 09:23,내일 상승할까요 히락할까요,552,10,5
2023.05.01 09:01,이 종목  내일  어떻게 예상히는지요,816,22,3
2023.05.01 08:44,"■서울가스, 대성 삼천리 다우 선광 등 금융당국 압수수색■",611,2,7
2023.05.01 10:44,"■서울가스, 대성 삼천리 다우 선광 업체가 아니고..주가조작 H사 압수수색■",52,0,0
2023.05.01 08:19,CFD효과...,497,4,3
2023.05.01 08:06,\김건희 전주부터 조사해야...,522,12,4
2023.05.01 11:42,\김건희 전주부터 조사해야...,36,0,0
2023.05.01 08:01,우량주 주주,524,12,1
2023.05.01 08:00,금융감독원 개소리,455,9,0
2023.05.01 07:52,대성홀딩스 중국원양자원인수설도는대,635,4,2
2023.05.01 07:47,임창정 응원합니다,377,1,1
2023.05.01 07:41,심심하다,133,0,0
2023.05.01 07:37,휴일 인데도 게시판이 활기차서 보기 좋군요,384,4,0
2023.05.01 07:21,임신 4상 실패 ??다,207,0,1
2023.05.01 07:19,3월 지분 매도,381,0,0
2023.05.01 06:51,악티가 너무 많다? 올라갈 듯,444,6,2
2023.05.01 06:49,개미만 매수 ㅠ,151,0,2
2023.05.01 06:47,이것만 아니라면 대성홀딩스는 문제없겠다,563,0,1
2023.05.01 06:19,회사가치는전혀변화없음,452,4,0
2023.05.01 05:43,다우 서울가스 대성홀딩스,859,5,4
2023.05.01 03:12,솔작히 지금 매수하기엔 위험성도 있아요,593,2,0
2023.05.01 01:34,▶▶[800%~ 1000%] 역대 주식시장 최대수익률???,346,0,0
2023.05.01 01:28,공매도 세력만 수사해도 조작단 모두 잡는다.,690,2,1
2023.05.01 01:27,소주 한잔,437,1,1
2023.05.01 00:20,정의의 심판이다,594,5,1
2023.04.30 23:58,선생님들 호재뜸!!!,448,2,3
2023.04.30 23:41,내가 주식 몇년 해보니 씨잘떼기 없이 실적 무관 폭등 폭락하던 주들 수두룩뻑쩍 하더라,294,1,1
2023.04.30 23:36,(((매우중요필독))) 화요일 주가예상,575,14,17
2023.04.30 23:29,크게 터질수도..,326,2,0
2023.04.30 23:13,DMS로,219,1,0
2023.04.30 23:08,"■서울가스, 대성 삼천리 다우 선광 등 금융당국 압수수색■",447,1,4
2023.04.30 23:02,■KBS 9시 뉴스 대성 7년 평균주가 9700원■,531,1,0
2023.04.30 22:20,슈카월드에서 다루고있다 ㅋㅋㅋ,475,5,9
2023.04.30 22:15,임창정 개도리,377,5,3
2023.04.30 22:14,임창정이 ,280,3,2
2023.04.30 22:07,음...,504,12,3
2023.04.30 22:03,구름 한 점 없이 예쁜 날,188,1,0
2023.04.30 21:31,이번 주가 조작 관련 내용입니다~ 다들 확인하시고 투자하세요!,306,0,0
2023.04.30 21:27,여긴 괜찮은거같네요,352,2,0
2023.04.30 20:38,여보세력 나야~,203,0,0
2023.04.30 20:00,너들 이사태가 끝난것 같냐 (5월달 내내 마음 고생하게 생겼다),426,1,7
2023.04.30 19:45,대성홀딩스와 서울도시가스의 관계...,443,13,2
2023.04.30 19:35,"폭락전 매도하지 않은 회사,폭락과 무관함",416,5,1
2023.04.30 19:28,대성홀딩스 ~~,372,5,9
2023.04.30 19:05,호구들끼리 위안질하냐?,383,4,5
2023.04.30 19:01,인천 도시가스랑 비교해보길,446,1,2
2023.04.30 19:05,체급이 약해요 계열사 달랑1곳/ 유보금 1400억.....,279,2,0
2023.04.30 18:52,한국증권 금융도 80만주 물렸다,381,11,2
2023.04.30 18:19,"외국인1,300억 이상/ 연기금 530억 이상...",691,25,3
2023.04.30 18:09,붕어들아 잘들엌ㅋㅋ,615,16,2
