날짜,제목,조회,공감,비공감
2023.05.01 22:14,속보?! 임창정 곧 뒈진다?,35,0,0
2023.05.01 22:10,신규 진입자들 말고 평단 30이상 이신분?,61,3,0
2023.05.01 22:06,그래 맞다 일론 머스크도 지분매각하는데,30,0,0
2023.05.01 22:06,주가조작 작전주 표본이다,28,0,0
2023.05.01 22:02,■ 5월은 동전주,53,1,1
2023.05.01 21:57,내일 ,53,0,2
2023.05.01 21:55,하딱 전문 우박사  킥킥  킥킥 ,30,0,1
2023.05.01 21:53,한번올렸으니 다시 떨어진다,85,1,1
2023.05.01 21:50,지금 서울가스보유자는 일생일대 행운이다,119,5,2
2023.05.01 21:36,거래정지.상폐 논하는이들 뭔걱정하며 여기머물까?,122,4,1
2023.05.01 21:36,"서울가스 유통주식수 1,207,617주 중 거래회전율 200%를 이미 2회전을",146,6,0
2023.05.01 21:34,대주주 통정 매도 100% 거래 정지다...,135,5,5
2023.05.01 21:29,정신들차려라,89,3,1
2023.05.01 21:28,3월7일 487000원에 71주 장중 매수 비중 30% 전후로 보유중인 개미 임다,171,1,2
2023.05.01 22:24,답변,1,0,0
2023.05.01 21:22,너그들 연금 받고 싶으면,75,2,0
2023.05.01 21:18,죽쒀서 개준다,85,1,0
2023.05.01 21:18,끝난주식,55,0,0
2023.05.01 21:17,이주식왜오르냐,38,0,0
2023.05.01 21:08,"경동도시가스 참고해라. 시총 1000억초반. 매출,영익 더 좋다",170,0,4
2023.05.01 21:03,내가 쓴글 해독해서 화요일 잘대응하세요. 화상한가,105,3,0
2023.05.01 20:50,100만원이 25만원 손절할래. 그냥 없는셈 칠래,154,6,0
2023.05.01 20:44,OOO드라 왜 오르겄냐,75,0,0
2023.05.01 20:44,투자자들 주가조작 세력들 믿고 3억투자한거,113,1,0
2023.05.01 20:23,삼화전자 페라이트 엘론 머스크 전기차 ,121,1,0
2023.05.01 20:07,10만,245,5,5
2023.05.01 20:17,10만,68,0,1
2023.05.01 20:06,"303,000목표가",186,6,4
2023.05.01 19:54,내일부터 매도자가 누구인가,282,5,0
2023.05.01 19:52,주가 폭락 사태 뉴스 관련,176,4,0
2023.05.01 19:41,20만원 탈출가능할까요,380,7,3
2023.05.01 19:27,조만간 급등 차트가 ,248,2,1
2023.05.01 19:26,또 모르지...,201,1,2
2023.05.01 19:23,내가쓴글봐. 초지일관 화요일 상한가 . 왜상한가인지,310,5,2
2023.05.01 19:16,2022.11월 모증권사 목표가48만원 저평가. 인터넷 검색해봐,225,1,0
2023.05.01 19:04,금융 당국 수뇌부 반성 우선,196,2,2
2023.05.01 18:54,"속보,,,삼천리·서울가스 '위험한 주가' 보고서 있었다",368,1,4
2023.05.01 18:48,아이구 두야,175,2,0
2023.05.01 18:37,■충격*대공수사국장 황윤덕 증언*문.노 간첩 잡으면 파면 좌천.편파왜곡 민주노총에 장악된 방송국,311,7,2
2023.05.01 18:43,■충격*대공수사국장 황윤덕 증언*문.노 간첩 잡으면 파면 좌천.편파왜곡 민주노총에 장악된 방송국,57,5,1
2023.05.01 18:19,여의도 클라스 한번봐라 반대매매 씨가 말랐단다,344,7,1
2023.05.01 18:14,야,243,2,0
2023.05.01 18:01,제 돈,228,1,1
2023.05.01 17:52,빠질게 없다는게 아니라 ,202,0,0
2023.05.01 17:46,여보 세력 나야~,284,2,1
2023.05.01 17:43,그래도 내 평단가 60은 반드시 온다,324,2,1
2023.05.01 17:38,제군들 결전의날이 곧‥!,310,6,2
2023.05.01 17:34,이덕연만 결국 제꾀에 넘어간듯,221,2,0
2023.05.01 17:29,거래정지당할수도 있다.,360,5,2
