Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,113000.000000,116500.000000,112500.000000,115000.000000,99230.085938,5988
2018-01-03,115000.000000,115500.000000,113500.000000,113500.000000,97935.781250,4183
2018-01-04,114500.000000,114500.000000,112000.000000,112500.000000,97072.906250,5738
2018-01-05,113000.000000,114000.000000,112000.000000,114000.000000,98367.203125,10500
2018-01-08,114500.000000,119500.000000,113500.000000,119000.000000,102681.562500,9805
2018-01-09,119000.000000,121500.000000,117500.000000,121000.000000,104407.304688,7962
2018-01-10,121000.000000,121500.000000,117500.000000,120000.000000,103544.429688,5820
2018-01-11,120500.000000,120500.000000,117000.000000,119500.000000,103113.000000,4642
2018-01-12,119500.000000,120000.000000,116000.000000,118500.000000,102250.132813,5412
2018-01-15,118500.000000,119000.000000,116500.000000,118500.000000,102250.132813,2743
2018-01-16,118000.000000,118500.000000,116000.000000,116500.000000,100524.398438,6517
2018-01-17,117500.000000,118500.000000,117000.000000,118000.000000,101818.703125,2462
2018-01-18,118500.000000,119500.000000,117500.000000,119000.000000,102681.562500,9931
2018-01-19,119500.000000,119500.000000,117500.000000,118500.000000,102250.132813,3940
2018-01-22,118000.000000,119500.000000,117000.000000,119500.000000,103113.000000,4437
2018-01-23,119500.000000,120000.000000,118000.000000,118000.000000,101818.703125,2095
2018-01-24,119000.000000,121000.000000,118500.000000,120000.000000,103544.429688,8032
2018-01-25,119000.000000,125500.000000,119000.000000,123500.000000,106564.484375,24793
2018-01-26,125000.000000,125000.000000,122500.000000,123500.000000,106564.484375,7760
2018-01-29,124500.000000,124500.000000,121500.000000,121500.000000,104838.742188,5925
2018-01-30,121500.000000,123500.000000,120500.000000,120500.000000,103975.867188,6882
2018-01-31,120500.000000,122500.000000,119000.000000,119500.000000,103113.000000,13306
2018-02-01,119500.000000,121000.000000,118000.000000,119000.000000,102681.562500,6826
2018-02-02,119000.000000,120000.000000,117000.000000,117500.000000,101387.265625,11962
2018-02-05,117500.000000,118500.000000,117000.000000,117000.000000,100955.828125,8556
2018-02-06,116500.000000,118000.000000,114000.000000,117000.000000,100955.828125,11438
2018-02-07,117000.000000,117500.000000,113500.000000,115000.000000,99230.085938,8915
2018-02-08,114000.000000,117000.000000,114000.000000,115500.000000,99661.523438,5862
2018-02-09,114500.000000,114500.000000,108500.000000,110000.000000,94915.726563,16279
2018-02-12,109500.000000,111500.000000,108000.000000,111000.000000,95778.601563,3493
2018-02-13,111000.000000,114500.000000,111000.000000,112500.000000,97072.906250,5583
2018-02-14,114000.000000,114000.000000,111000.000000,113500.000000,97935.781250,6107
2018-02-19,114000.000000,117000.000000,113500.000000,116000.000000,100092.953125,6576
2018-02-20,116500.000000,126000.000000,115500.000000,125500.000000,108290.218750,18759
2018-02-21,125000.000000,127000.000000,123000.000000,125000.000000,107858.796875,12552
2018-02-22,123500.000000,124500.000000,121500.000000,124000.000000,106995.921875,7590
2018-02-23,122500.000000,124000.000000,121500.000000,122000.000000,105270.179688,2740
2018-02-26,122000.000000,123000.000000,120000.000000,122500.000000,105701.617188,3296
2018-02-27,121500.000000,123500.000000,119000.000000,119000.000000,102681.562500,5285
2018-02-28,119000.000000,122000.000000,118500.000000,122000.000000,105270.179688,7721
2018-03-02,121000.000000,124000.000000,121000.000000,124000.000000,106995.921875,4412
2018-03-05,124000.000000,124500.000000,121000.000000,123500.000000,106564.484375,4573
2018-03-06,124000.000000,125000.000000,120000.000000,120500.000000,103975.867188,9092
2018-03-07,121500.000000,122500.000000,119500.000000,120500.000000,103975.867188,3424
2018-03-08,122500.000000,122500.000000,119500.000000,121500.000000,104838.742188,5203
2018-03-09,120500.000000,124000.000000,120500.000000,124000.000000,106995.921875,7419
2018-03-12,124500.000000,124500.000000,121500.000000,123000.000000,106133.046875,5602
2018-03-13,124000.000000,124500.000000,122500.000000,124500.000000,107427.351563,7587
2018-03-14,124500.000000,124500.000000,122000.000000,123500.000000,106564.484375,8522
2018-03-15,123500.000000,123500.000000,121500.000000,123000.000000,106133.046875,6628
2018-03-16,122000.000000,124000.000000,121500.000000,124000.000000,106995.921875,6042
2018-03-19,123500.000000,124000.000000,122500.000000,122500.000000,105701.617188,2253
2018-03-20,122000.000000,123500.000000,121500.000000,123000.000000,106133.046875,7601
2018-03-21,123000.000000,123500.000000,119000.000000,119000.000000,102681.562500,10171
2018-03-22,119500.000000,121000.000000,117500.000000,119000.000000,102681.562500,7456
2018-03-23,118000.000000,119500.000000,113000.000000,114000.000000,98367.203125,3901
2018-03-26,114000.000000,114500.000000,112500.000000,114500.000000,98798.640625,3268
2018-03-27,115500.000000,118000.000000,114500.000000,117000.000000,100955.828125,5228
2018-03-28,117000.000000,117000.000000,114500.000000,115000.000000,99230.085938,3081
2018-03-29,116000.000000,116000.000000,112000.000000,112500.000000,97072.906250,3037
2018-03-30,113000.000000,113500.000000,112000.000000,113500.000000,97935.781250,3390
2018-04-02,113500.000000,113500.000000,111000.000000,112500.000000,97072.906250,6827
2018-04-03,112000.000000,114500.000000,111000.000000,114000.000000,98367.203125,3289
2018-04-04,114000.000000,114500.000000,111000.000000,111500.000000,96210.031250,3805
2018-04-05,111000.000000,114000.000000,111000.000000,113000.000000,97504.343750,1668
2018-04-06,113000.000000,114500.000000,111500.000000,114500.000000,98798.640625,2302
2018-04-09,114500.000000,114500.000000,112000.000000,113500.000000,97935.781250,1970
2018-04-10,112500.000000,112500.000000,111000.000000,111500.000000,96210.031250,2245
2018-04-11,110500.000000,110500.000000,108500.000000,109000.000000,94052.859375,5948
2018-04-12,109500.000000,111500.000000,109500.000000,111500.000000,96210.031250,1288
2018-04-13,112000.000000,112000.000000,109000.000000,110000.000000,94915.726563,2632
2018-04-16,109500.000000,111000.000000,109000.000000,109500.000000,94484.296875,1192
2018-04-17,109000.000000,110000.000000,107000.000000,107000.000000,92327.117188,3683
2018-04-18,107000.000000,108500.000000,107000.000000,107500.000000,92758.554688,2655
2018-04-19,108500.000000,108500.000000,106500.000000,108000.000000,93189.992188,5300
2018-04-20,108500.000000,110500.000000,107000.000000,110000.000000,94915.726563,2741
2018-04-23,110000.000000,111500.000000,108500.000000,110500.000000,95347.164063,2967
2018-04-24,110500.000000,110500.000000,107500.000000,108000.000000,93189.992188,3027
2018-04-25,108000.000000,110500.000000,107000.000000,110000.000000,94915.726563,1706
2018-04-26,109500.000000,111000.000000,108500.000000,108500.000000,93621.421875,2236
2018-04-27,109500.000000,111500.000000,107500.000000,109000.000000,94052.859375,9881
2018-04-30,110000.000000,113000.000000,110000.000000,111500.000000,96210.031250,3800
2018-05-02,111500.000000,116500.000000,110500.000000,116500.000000,100524.398438,7146
2018-05-03,116500.000000,116500.000000,113000.000000,114000.000000,98367.203125,4125
2018-05-04,114000.000000,116500.000000,113000.000000,114000.000000,98367.203125,2958
2018-05-08,114000.000000,115500.000000,113500.000000,114000.000000,98367.203125,2292
2018-05-09,114000.000000,115000.000000,111500.000000,111500.000000,96210.031250,5167
2018-05-10,114000.000000,114000.000000,108500.000000,110000.000000,94915.726563,5075
2018-05-11,111000.000000,111500.000000,108500.000000,110000.000000,94915.726563,4035
2018-05-14,112000.000000,115500.000000,110500.000000,115500.000000,99661.523438,5071
2018-05-15,116500.000000,116500.000000,112500.000000,115000.000000,99230.085938,7925
2018-05-16,114500.000000,116000.000000,112000.000000,112500.000000,97072.906250,11712
2018-05-17,112500.000000,114500.000000,111000.000000,111500.000000,96210.031250,6009
2018-05-18,111500.000000,113500.000000,111000.000000,112500.000000,97072.906250,3163
2018-05-21,111500.000000,115000.000000,111500.000000,114500.000000,98798.640625,4721
2018-05-23,114000.000000,117000.000000,112000.000000,116000.000000,100092.953125,10005
2018-05-24,115000.000000,116000.000000,114000.000000,114000.000000,98367.203125,4903
2018-05-25,113500.000000,115000.000000,112000.000000,112500.000000,97072.906250,3048
2018-05-28,114000.000000,115000.000000,113000.000000,114500.000000,98798.640625,3489
2018-05-29,115000.000000,115000.000000,113000.000000,114000.000000,98367.203125,8316
2018-05-30,113500.000000,114000.000000,111500.000000,112500.000000,97072.906250,6772
2018-05-31,114000.000000,115000.000000,112500.000000,115000.000000,99230.085938,13453
2018-06-01,115000.000000,115500.000000,113000.000000,114000.000000,98367.203125,6406
2018-06-04,115000.000000,115000.000000,113000.000000,114000.000000,98367.203125,3646
2018-06-05,113500.000000,115500.000000,113000.000000,114500.000000,98798.640625,5029
2018-06-07,114500.000000,116000.000000,113500.000000,113500.000000,97935.781250,7192
2018-06-08,113500.000000,113500.000000,112000.000000,112000.000000,96641.476563,5105
2018-06-11,112000.000000,114000.000000,111500.000000,113500.000000,97935.781250,3291
2018-06-12,114000.000000,114000.000000,112500.000000,113500.000000,97935.781250,3269
2018-06-14,114000.000000,116500.000000,113000.000000,115500.000000,99661.523438,9317
2018-06-15,116000.000000,117000.000000,115000.000000,115500.000000,99661.523438,13168
2018-06-18,115000.000000,117000.000000,114000.000000,116000.000000,100092.953125,6122
2018-06-19,116000.000000,118500.000000,113000.000000,113000.000000,97504.343750,13484
2018-06-20,113500.000000,116000.000000,113000.000000,115000.000000,99230.085938,5518
2018-06-21,115500.000000,116500.000000,115000.000000,116500.000000,100524.398438,5107
2018-06-22,116500.000000,118000.000000,113000.000000,114000.000000,98367.203125,9766
2018-06-25,114000.000000,116500.000000,113000.000000,115500.000000,99661.523438,4548
2018-06-26,115500.000000,116000.000000,113500.000000,113500.000000,97935.781250,6795
2018-06-27,113500.000000,115500.000000,113500.000000,115500.000000,99661.523438,2979
2018-06-28,115500.000000,116000.000000,113500.000000,113500.000000,97935.781250,1459
2018-06-29,113500.000000,115000.000000,112000.000000,112000.000000,96641.476563,3035
2018-07-02,112500.000000,113500.000000,108500.000000,109000.000000,94052.859375,3827
2018-07-03,109500.000000,111000.000000,104500.000000,107000.000000,92327.117188,6977
2018-07-04,106000.000000,107500.000000,106000.000000,106000.000000,91464.242188,1375
2018-07-05,107500.000000,107500.000000,105500.000000,107000.000000,92327.117188,1744
2018-07-06,106500.000000,108000.000000,106000.000000,106000.000000,91464.242188,1280
