날짜,제목,조회,공감,비공감
2023.05.01 09:29,선광003100 ....이 종목은 높은 수익을 가져올 수 있는 최고의 투자 대상입니다.,418,2,0
2023.05.01 09:25,2만원 초반,493,5,2
2023.05.01 09:23,외국인 기관 ,421,5,4
2023.05.01 09:01,지시하라,438,4,6
2023.05.01 09:00,세력 입성 3연상,438,3,3
2023.05.01 08:54,대박과  쪽박의 차이?,442,4,1
2023.05.01 08:50,오늘,651,1,0
2023.05.01 08:55,오늘,168,1,0
2023.05.01 08:47,"■서울가스, 대성 삼천리 다우 선광 등 금융당국 압수수색■",583,7,3
2023.05.01 08:26,야수의 심장으로 매수,672,10,2
2023.05.01 08:53,ㅎㅎ  거지되는 대표적 사례,140,1,1
2023.05.01 08:21,HMM 보다 더유명해진 선광.,539,18,2
2023.05.01 08:15,잘하면 역으로 10연상 가긋는디?,614,12,0
2023.05.01 08:08,금융감독원 개소리,386,1,1
2023.05.01 07:57,형들 이거 실화야?!SG사태 최고 피해자?,569,1,0
2023.05.01 07:38,주식 25년차 화요일 하한가는 맞지만,863,3,12
2023.05.01 07:41,주식 25년차 화요일 하한가는 맞지만,190,4,0
2023.05.01 07:33,야는,376,2,6
2023.05.01 07:34,[삭제된 게시물의 답글]하한가 하한가 신나는노래,151,3,0
2023.05.01 07:19,금감원 두고보자이,519,2,0
2023.05.01 07:37,금감원 ㅇㅇㅇ들,124,3,0
2023.05.01 06:57,선광주가,394,4,0
2023.05.01 06:45,해명부탁드립니다,513,2,1
2023.05.01 06:44,형들 나 삼천리사려다 선광 삿는데,579,6,1
2023.05.01 07:36,형들 나 삼천리사려다 선광 삿는데,115,0,0
2023.05.01 06:33,"오늘,",341,2,0
2023.05.01 06:05,선광 전략 ,387,1,1
2023.05.01 04:17,◆.팩트로 말하자,627,17,1
2023.05.01 03:36,속보  기시다 방한 유력 7~ 9일 ,633,8,1
2023.05.01 02:12,선광 낼장부터 상가야제?,781,19,4
2023.05.01 02:11,탈락. 다우 서울 대성홀딩스 ,798,5,3
2023.05.01 01:36,▶▶[800%~ 1000%] 역대 주식시장 최대수익률???,501,1,2
2023.05.01 01:25,폭락직전 공매도 수사예정,488,5,1
2023.05.01 01:16,▶▶[폭염키워드검색량 관심집중↑] “주가상승폭등 전조증상”??,393,1,2
2023.05.01 01:06,공견들아  소주나 이빠이  묵고 자라,522,6,1
2023.05.01 01:00,임모씨는,462,4,1
2023.05.01 00:39,화요일 시초가 15%,596,10,2
2023.05.01 00:27,공매세력도 수사!! ㅎㅎㅎ,499,10,1
2023.05.01 00:11,영원한 상승도 영원한하락도없지,432,4,0
2023.05.01 00:06,주포는다빠져나갔다,489,5,1
2023.04.30 23:48,개인,275,2,3
2023.04.30 23:46,하나 알랴줌,444,7,10
2023.05.01 00:56,하나 알랴줌,156,5,0
2023.04.30 23:35,(((매우중요필독))) 화요일 주가예상,415,8,11
2023.04.30 23:26,흠,274,2,3
2023.04.30 23:02,ㅋㅋㅋㅋㅋ 주식판 개판이다..ㅋ,204,2,2
2023.04.30 22:57,Sbs뉴스 충격자체네,573,2,4
2023.04.30 22:56,여기서 찬티하는것들은 악마다,216,1,4
2023.04.30 22:49,파란불에서 샀어야지ㅋㅋㅋㅋ,197,2,2
2023.04.30 21:36,이번 주가 조작 관련 내용입니다~ 다들 확인하시고 투자하세요!,483,3,4
2023.04.30 21:30,급등주 알림 문자오네,588,16,3
2023.04.30 21:27,개인들만 샀다는데 그럼 ㅈ된거 아님?,302,3,5
2023.04.30 21:07,지금 신용 얼마남음?,630,2,2
2023.04.30 20:47,4000 적정가랍니다 ~~,504,5,9
2023.04.30 20:17,왕창먹자 ,373,2,3
2023.04.30 20:15,삼화전자 페라이트 엘론 머스크 전기차 ,315,1,4
2023.04.30 20:06,적정 주가는 얼마쯤 될까요?,783,6,0
2023.04.30 20:49,적정 주가는 얼마쯤 될까요?,230,1,6
2023.04.30 20:00,SG사태로 주식가 얼어붙겠네,503,3,2
2023.04.30 19:35,금요?신용반대매매다나왔다기업청산해도1주당6만원받는다 ㅉ  ㅉ,672,3,3
2023.04.30 19:55,[삭제된 게시물의 답글]니가 판사냐 청산 절차 제대로 알아봐라,272,4,0
2023.04.30 23:41,금요?신용반대매매다나왔다기업청산해도1주당6만원받는다 ㅉ  ㅉ,122,0,0
2023.04.30 19:25,이 사태 원칙대로 처벌 한단다 (다음주 부터 다 뒈아졌어 잘가라),604,2,6
2023.04.30 19:29,너들 이사태가 끝난것 같냐 (다음주 부터 다 뒈아졌어 잘가라),402,5,1
2023.04.30 19:17,말이 저평가지,358,2,10
2023.04.30 19:10,100억 공매 세력은 다우 쪽 아니면 기존 세력,432,2,0
2023.04.30 18:44,솔직히 주식하면서,473,2,7
2023.04.30 18:28,화요일 하한가 직행 신용 72만주 반대매매 대기,970,4,12
2023.04.30 18:41,화요일 하한가 직행 신용 72만주 반대매매 대기,275,4,1
2023.04.30 18:45,화요일 하한가 직행 신용 72만주 반대매매 대기,292,5,0
2023.04.30 18:11,아유 씹닥것 주가조작 딱걸렸네 쩜하한가네 ㅛㅛ,626,5,11
2023.04.30 18:43,아유 씹닥것 주가조작 딱걸렸네 쩜하한가네 ㅛㅛ,194,3,0
2023.04.30 18:01,화요일 신용높은거  다  나온다,613,4,5
